"","stid","lng","lat","wp90","wpc","wpmax","wh90","wh4mH","whmax","nc_ubedmean","Ubms","T1h","T2h"
"428","15015_30",143.973491802899,-13.1264958242503,0.641353383878285,99.2834369371213,2.52733198906424,0.655966831321871,0,1.03500880593224,0.202819806885565,0.06,0,0
"429","15015_32",143.973193256695,-13.1269504026202,0.580892483456721,92.480842550568,2.2979888886354,0.655511781980964,0,1.03111316568448,0.200204099955546,0.07,0,0
"430","15015_4",143.97864190776,-13.1201040769833,0.648960658516579,96.8358663992592,2.18492193755714,0.677453203841675,0,1.07098893125528,0.201297245485223,0.03,0,0
"431","15015_5",143.97807681396,-13.1205704383752,0.626494002385961,94.0199637699741,2.18492193755714,0.646535699283399,0,1.03904279366828,0.16771619957244,0.18,0,0
"432","15015_7",143.977640377315,-13.1209295709019,0.626494002385961,94.0458486970082,2.20614224018839,0.63932494955349,0,1.02791713351222,0.179981936769098,0.12,0,0
"433","15015_8",143.977409341026,-13.1211338988595,0.671721018267839,95.7087107549772,2.20614224018839,0.635007286898443,0,1.02043456631463,0.19033636688463,0.23,0,0
"434","15015_9",143.977184009039,-13.1213740533701,0.671721018267839,95.7087145658412,2.20614224018839,0.635007286898443,0,1.02043456631463,0.192625004479835,0.25,0,0
"435","15016_10",143.975829792535,-13.0950138937665,0.555946944316745,73.3645876977363,1.34633140100172,0.711044318868092,0,0.839184758655875,0.135442235610784,0.02,0,0
"436","15016_11",143.975530114478,-13.0948240275412,0.557757018454656,75.773396174379,1.45890587772929,0.711044318868092,0,0.839184758655875,0.127943935789369,0.01,0,0
"437","15016_12",143.975201704406,-13.0947417843286,0.524131128511897,73.5077758566237,1.45890587772929,0.692948738529521,0,0.81918062008732,0.150087686200337,0.01,0,0
"438","15016_15",143.974458305405,-13.0944434036328,0.495395835858727,68.6966791157492,1.37318681410283,0.677285658918915,0,0.808590446732293,0.164210437198882,0.08,0,0
"439","15016_17",143.973951579048,-13.0943079514277,0.459094278212644,69.003047503858,1.46566163978306,0.653793437828965,0,0.785411671207706,0.20442838868957,0.12,0,0
"440","15016_18",143.973677269676,-13.0941414775686,0.459094278212644,69.2374104779884,1.46566163978306,0.653793437828965,0,0.785411671207706,0.149796304438923,0.08,0.1,0
"441","15016_19",143.973342226068,-13.0939497853837,0.448665297252546,68.55995267475,1.46566163978306,0.652043298517839,0,0.77720772765406,0.124332388162775,0.07,0,0
"442","15016_2",143.978448348611,-13.0959216346172,0.751694362298896,90.0825231304652,1.43932068592942,0.801851733210559,0,0.977343992406485,0.155183537271454,0,0,0
"443","15016_42",143.967617227315,-13.0896922887723,0.310831729716261,59.4973388534408,1.61623760253366,0.574701427821067,0,0.767046584568078,0.116480414278158,0.03,0,0
"444","15016_5",143.977196952288,-13.0953302045089,0.657055654031607,79.1052945371906,1.24754929765809,0.759491912277545,0,0.901718628066932,0.117020423177489,0,0,0
"445","15016_7",143.97668650452,-13.0952634951027,0.605594539298509,76.4657242821893,1.3041458467997,0.735771175880035,0,0.871212732132302,0.131680537134244,0,0,0
"446","15017_11",143.955072213737,-13.0525306331102,2.24488632241162,335.47630273565,3.27601717824891,1.1871182976746,0,1.37375093495105,0.063868065423924,0,0,0
"447","15017_13",143.954615374074,-13.0529736716426,2.23342917003365,335.873506341374,3.25534858751294,1.18273740288302,0,1.36886343432612,0.0374977954285894,0.01,0,0
